file name,name,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,QED_PASS,SYNTH_PASS,MCE-18_PASS,PASS
egfr+her2.smi,188812::VQJKZXIKCUIQOX-UHFFFAOYSA-N,n1n(c(cc1C1CCNCC1)NC(=O)c1c2n(nc1)cccn2)C1CCOCC1,-0.779,0.874,0.842,0.227,0.987,0.011,0.005,0.787,-5.668,7.19E-06,0.65,69.55%,1.656,51.90%,0.035,0.121,0.052,0.384,0.017,0.747,0.009,0.292,0.029,0.265,6.495,0.202,0.327,0.977,0.97,0.03,0.123,0.965,0.296,0.66,0.003,0.008,0.547,-0.074,1.926,2.278,3.916,0.004,0.003,0.347,0.936,0.247,0.011,0.003,0.772,0.123,0.029,0.133,0.18,395.21,387.796,1.019,9,2,101.6,4,5,9,9,0,29,0.138,0,0,0,0,0,1,0,0,0,0.698,3.403,0.5,64,-1.458,2,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
egfr+her2.smi,216448::SPONHPDHHBKHKE-UHFFFAOYSA-N,n1cc2CN(Cc2cc1)C(=O)Nc1ccc(cc1)C(=O)N1CC[C@]21CNCCC2,-1.641,1.044,0.852,0.003,0.995,0.249,0.799,0.977,-5.75,3.09E-06,0.86,48.61%,2.095,61.84%,0.075,0.567,0.269,0.526,0.339,0.15,0.796,0.76,0.927,0.755,3.623,0.39,0.495,0.903,0.821,0.02,0.3,0.94,0.842,0.35,0.003,0.006,0.656,-0.009,2.029,2.109,3.15,0.01,0.003,0.728,0.016,0.143,0.005,0.006,0.715,0.032,0.011,0.505,0.049,391.2,397.758,0.984,7,2,77.57,5,5,9,7,0,28,0.179,1,0,0,1,0,1,5,0,1,0.825,3.619,0.409,119.097,-0.907,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
egfr+her2.smi,473189::HKOBLTPSROKNNY-UHFFFAOYSA-N,n1cnc2c(c1N)c(nn2C[C@H]1SSC[C@@H]1O)C#Cc1ccccc1,-3.228,3.179,2.441,0.016,0.004,0.229,0.009,0.995,-5.642,4.47E-06,0.138,84.23%,1.01,6.40%,0.873,0.333,0.845,0.107,0.811,0.733,0.887,0.155,0.765,0.35,11.917,0.294,0.185,0.919,0.983,0.936,0.855,0.884,0.942,0.157,0.007,0.081,0.967,0.716,4.501,6.27,5.685,0.002,0.794,0.962,0.98,0.308,0.669,0.979,0.963,0.929,0.698,0.538,0.984,369.07,345.426,1.068,6,3,90.58,2,4,9,8,0,23,0.087,2,0,0,0,1,0,3,2,2,0.473,4.453,0.235,65.714,-0.006,0,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,TRUE,FALSE
egfr+her2.smi,50432394::GFSMRUUAQITBGI-QGZVFWFLSA-N,n1c(cc(cc1)n1c(nc2c1cccc2)c1cc(ccc1)O)N[C@@H]1CCCNC1,-2.935,2.836,3.142,0.912,0.999,0.011,0.012,0.068,-5.797,1.02E-05,0.486,79.19%,0.888,16.97%,0.915,0.611,0.167,0.058,0.043,0.136,0.972,0.878,0.452,0.343,6.268,0.687,0.947,0.978,0.184,0.899,0.634,0.991,0.91,0.033,0.003,0.011,0.776,0.818,4.885,5.741,6.154,0.041,0.005,0.888,0.046,0.334,0.003,0.002,0.501,0.549,0.056,0.721,0.238,385.19,400.991,0.961,6,3,78.23,3,5,9,6,0,29,0.103,1,0,0,0,0,1,1,0,3,0.506,3.497,0.217,80.571,-0.563,1,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,TRUE,FALSE
er.smi,149740::UFQBEFKDLIPXMN-UHFFFAOYSA-N,c1(c(cc2c(c1)[C@@]1(C3(CO2)CC3)COC(=N1)N)F)Br,-3.373,2.696,2.712,0.005,0.001,0.019,0.001,0.003,-4.779,1.86E-05,0.967,90.13%,2.942,20.97%,0.906,0.606,0.775,0.784,0.708,0.853,0.923,0.901,0.224,0.429,2.658,0.184,0.045,0.843,0.164,0.369,0.828,0.952,0.09,0.987,0.004,0.035,0.869,0.629,3.085,4.001,6.369,0.006,0.022,0.545,0.346,0.312,0.006,0.01,0.482,0.597,0.776,0.458,0.952,326.01,253.558,1.286,4,2,54.34,0,4,10,6,0,20,0,1,0,0,0,0,2,1,1,1,0.77,4.999,0.462,106.526,0.442,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
er.smi,50189075::PJGGLTSPHFWUOS-UHFFFAOYSA-N,c1cc2c(C[C@@]3(C2=C(C(=O)CC3)Br)CC)c2c1nn[nH]2,-4.004,2.028,2.534,0.002,0.035,0.01,0.004,0.004,-4.743,2.02E-05,0.294,94.10%,1.035,2.32%,0.807,0.792,0.66,0.466,0.545,0.664,0.131,0.166,0.757,0.666,1.707,0.723,0.022,0.109,0.812,0.871,0.728,0.844,0.568,0.808,0.612,0.379,0.981,0.515,5.004,5.336,5.151,0.006,0.766,0.933,0.905,0.392,0.593,0.979,0.967,0.863,0.095,0.962,0.927,331.03,279.016,1.186,4,1,58.64,1,4,16,5,0,20,0.05,2,2,0,3,0,1,2,1,2,0.804,4.782,0.4,74.381,0.315,1,2,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
er.smi,50487909::BWXJQHJHGMZLBT-SLPXSTGGSA-N,C1C[C@H]2[C@@]3(CC[C@H]([C@]1(C3)C)O)[C@H](CC2(C)C)O,-3.246,2.846,2.573,0.001,0.291,0.004,0.092,0.96,-4.83,1.35E-05,0.249,82.31%,1.08,26.34%,0.02,0.267,0.02,0.849,0.052,0.648,0.011,0.496,0.167,0.156,7.125,0.513,0.03,0.309,0.02,0.017,0.957,0.92,0.452,0.157,0.264,0.538,0.965,0.848,3.623,4.117,5.175,0.658,0.178,0.009,0.305,0.141,0.01,0.016,0.056,0.077,0.158,0.822,0.349,238.19,259.907,0.916,2,2,40.46,0,3,11,2,0,14,0,5,0,0,0,0,0,0,1,0,0.681,5.577,1,79.8,3.122,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
er.smi,50018697::GTGGDWUGNLGPSN-UHFFFAOYSA-N,C1(CCCCC1)(C#Cc1nc(c2c(n1)n(c(n2)c1occc1)CC#C)N)O,-2.928,2.117,2.035,0.199,0.002,0.458,0.036,0.011,-4.824,1.72E-05,0.114,94.30%,0.812,1.56%,0.87,0.642,0.894,0.066,0.914,0.363,0.913,0.373,0.663,0.224,7.041,0.368,0.058,0.986,0.973,0.107,0.793,0.838,0.103,0.933,0.003,0.023,0.982,0.877,3.533,5.782,5.416,0.003,0.016,0.944,0.94,0.52,0.01,0.582,0.921,0.472,0.405,0.527,0.95,361.15,366.45,0.986,7,3,103.72,2,4,9,7,0,24,0.083,0,0,0,0,1,0,1,0,5,0.609,3.664,0.35,53.778,-0.832,0,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,TRUE,FALSE
nfkb.smi,483950::MPPXZIKQJFVJPQ-KHPPLWFESA-N,c1(nc2c(cc1)nc([nH]2)[C@@]1(F)CCCN(C1)C#N)c1ccn[nH]1,-3.364,2.078,1.813,0.002,0.727,0.008,0.002,0.002,-4.897,6.33E-06,0.504,85.66%,0.674,21.28%,0.626,0.762,0.353,0.054,0.298,0.317,0.136,0.202,0.589,0.183,5.057,0.745,0.411,0.916,0.967,0.186,0.823,0.927,0.053,0.192,0.003,0.012,0.981,0.148,2.189,2.931,5.566,0.057,0.01,0.218,0.876,0.162,0.008,0.035,0.373,0.251,0.01,0.16,0.819,311.13,295.724,1.052,7,2,97.28,2,4,9,8,0,22,0.091,1,1,0,0,1,1,0,2,0,0.706,4.436,0.333,73.5,-0.885,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
nfkb.smi,50221641::JYDXOANMKLNUBG-UHFFFAOYSA-N,c1(c(cc2c(c1)nc(c(n2)N1CCC(=O)N1)S(=O)(=O)C)Cl)Cl,-3.799,1.282,1.474,0.068,0.001,0.004,0.001,0.003,-5.538,2.29E-05,0.009,95.66%,0.459,1.26%,0.711,0.863,0.408,0.616,0.178,0.803,0.022,0.168,0.28,0.829,1.437,0.213,0.461,0.719,0.991,0.055,0.806,0.951,0.114,0.948,0.003,0.009,0.931,0.022,2.715,4.174,4.366,0.004,0.006,0.701,0.012,0.045,0.005,0.018,0.754,0.006,0.007,0.36,0.158,359.99,293.909,1.225,7,1,92.26,2,3,10,10,0,19,0.105,0,1,0,2,0,1,0,1,2,0.873,3.029,0.25,45.333,-0.937,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
nfkb.smi,50460119::MNQSOOKWQBQJNY-LLVKDONJSA-N,O=S(=O)(N1C[C@@H](CC1)N(c1ncnc2c1cc[nH]2)C)C(C)C,-2.495,2.14,1.896,0.001,0.054,0.026,0.002,0.048,-4.551,1.23E-05,0.946,73.69%,1.21,41.08%,0.053,0.111,0.071,0.262,0.055,0.807,0.034,0.405,0.141,0.772,10.232,0.493,0.124,0.992,0.995,0.213,0.828,0.847,0.639,0.715,0.003,0.022,0.962,0.397,2.599,3.313,4.037,0.001,0.002,0.744,0.949,0.11,0.006,0.051,0.739,0.006,0.447,0.258,0.391,323.14,305.558,1.058,7,1,82.19,4,3,9,8,0,17,0.235,1,0,0,1,0,1,0,0,1,0.914,3.289,0.571,63.909,-1.285,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
nfkb.smi,109190::UEPMPBYFDCSFNM-UHFFFAOYSA-O,c1(csc(n1)C)C#Cc1cnc(nc1)[n+]1ccc2-c1c[nH]cc2,-3.517,2.825,2.41,0.002,0.995,0.012,0.006,0.469,-4.888,3.40E-05,0.319,56.46%,0.52,9.21%,0.801,0.313,0.444,0.078,0.27,0.176,0.519,0.066,0.775,0.543,5.607,0.238,0.455,0.627,0.97,0.105,0.349,0.881,0.17,0.067,0.003,0.013,0.786,2.452,4.705,6.849,5.636,0.011,0.002,0.938,0.979,0.797,0.182,0.048,0.934,0.945,0.113,0.427,0.898,318.08,314.172,1.012,5,1,58.34,1,4,9,6,1,22,0.045,0,0,0,0,0,1,1,0,4,0.433,3.774,0.059,19,-0.657,1,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,FALSE,FALSE
nfkb.smi,129273::ABIXGHCZODXQRJ-UHFFFAOYSA-N,N(C(=O)NC1CCCCC1)CCNc1ccccc1,-3.122,3.003,2.561,0.001,0.998,0.112,0.137,0.064,-5.094,4.42E-05,0.965,88.96%,0.894,8.32%,0.638,0.114,0.766,0.31,0.547,0.88,0.129,0.801,0.52,0.121,7.083,0.407,0.032,0.181,0.071,0.048,0.038,0.123,0.748,0.025,0.003,0.065,0.165,0.324,3.193,3.513,3.33,0.006,0.002,0.102,0.008,0.183,0.003,0.008,0.075,0.026,0.022,0.402,0.01,261.18,282.118,0.926,4,3,53.16,7,2,6,4,0,13,0.538,0,0,0,1,0,0,2,0,1,0.714,1.781,0.533,22.696,-1.446,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,FALSE,FALSE
nfkb.smi,129314::JZKBURCILYUBHE-UHFFFAOYSA-N,N(C(=O)NCc1ccccc1)CCc1ccccc1,-3.103,3.033,2.469,0.007,0.907,0.397,0.993,0.094,-4.724,3.75E-05,0.811,95.10%,3.07,5.62%,0.932,0.114,0.963,0.634,0.727,0.885,0.646,0.868,0.624,0.246,8.475,0.741,0.267,0.176,0.078,0.127,0.003,0.101,0.595,0.021,0.003,0.02,0.011,0.742,3.381,3.915,3.8,0.005,0.001,0.017,0.005,0.116,0.004,0.003,0.038,0.01,0.005,0.119,0.005,254.14,280.508,0.906,3,2,41.13,7,2,6,3,0,13,0.538,0,0,0,0,0,0,1,0,0,0.846,1.414,0.188,9,-1.033,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,FALSE,FALSE
nfkb.smi,281556::QZHGOGRINQEHSD-UHFFFAOYSA-N,c12ccn(c1cncc2)c1ccc(cn1)C#CCF,-3.057,2.936,2.672,0.005,0,0.01,0.018,0.828,-4.374,4.08E-05,0.694,92.67%,0.769,4.17%,0.989,0.579,0.885,0.179,0.904,0.651,0.578,0.681,0.923,0.556,7.169,0.215,0.179,0.912,0.978,0.382,0.988,0.951,0.845,0.319,0.003,0.018,0.994,1.664,4.096,5.627,5.718,0.051,0.003,0.762,0.953,0.318,0.096,0.005,0.85,0.921,0.727,0.194,0.699,251.09,257.657,0.975,3,0,30.71,1,3,9,4,0,17,0.059,0,0,0,0,0,1,1,0,4,0.623,2.897,0.067,14,-1.578,0,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,FALSE,FALSE
nfkb.smi,49711::RZXQJVDJDJGQEB-UHFFFAOYSA-N,S(C(=S)N(CC)CC)CCC(=O)NC(=O)Oc1ccccc1,-3.731,2.488,2.346,0.238,0.001,0.013,0.001,0.001,-4.707,3.75E-05,0.993,66.19%,0.741,20.75%,0.956,0.781,0.921,0.109,0.796,0.635,0.047,0.182,0.238,0.259,11.583,0.935,0.03,0.233,0.94,0.593,0.245,0.057,0.919,0.765,0.003,0.056,0.637,0.662,3.852,5.203,5.473,0.011,0.009,0.797,0.863,0.642,0.216,0.984,0.678,0.324,0.936,0.23,0.133,340.09,329.003,1.034,5,1,58.64,11,1,6,7,0,9,1.222,0,2,1,2,4,1,5,1,3,0.803,2.414,0.4,8,-1.337,3,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,FALSE,FALSE
nfkb.smi,498835::SRASKPJBHKNSRL-UHFFFAOYSA-N,C(#N)N1C[C@@H](CC1)CC(=O)NCCc1ccccc1,-1.827,1.567,1.657,0.005,0.581,0.014,0.334,0.762,-4.918,2.92E-05,0.422,24.19%,1.4,60.13%,0.653,0.324,0.912,0.457,0.645,0.289,0.629,0.665,0.606,0.306,6.203,0.88,0.091,0.823,0.045,0.169,0.172,0.916,0.786,0.528,0.004,0.203,0.199,0.444,2.358,2.755,4.828,0.034,0.003,0.012,0.012,0.685,0.097,0.008,0.066,0.008,0.01,0.008,0.006,257.15,276.845,0.929,4,1,56.13,6,2,6,4,0,13,0.462,1,0,0,0,1,0,0,0,0,0.814,2.763,0.467,33.636,-0.802,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,FALSE,FALSE
nfkb.smi,50049740::PSDFROGPPFTBND-UHFFFAOYSA-N,c12n(-c3c(C(=O)N(C2)C)cc(C#CC)cc3)cnc1C(=O)OCC,-4.073,2.09,1.926,0.007,0.002,0.015,0.999,0.997,-4.673,3.06E-05,0.807,75.51%,1.151,18.15%,0.773,0.69,0.846,0.472,0.747,0.621,0.02,0.57,0.66,0.491,5.228,0.56,0.076,0.208,0.944,0.029,0.031,0.691,0.317,0.597,0.003,0.014,0.177,0.569,3.229,4.173,4.011,0.029,0.01,0.286,0.871,0.211,0.023,0.285,0.327,0.036,0.023,0.079,0.748,323.13,329.848,0.98,6,0,64.43,3,3,14,6,0,19,0.158,0,0,0,0,0,0,2,0,5,0.626,2.857,0.278,37.565,0.036,0,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,FALSE,FALSE
nfkb.smi,50049906::UOAQMUMUMLWAOF-UHFFFAOYSA-N,n1(c2c(c3c(nc(nc3cc2)N)N)cc1CC)C(C)(C)C,-2.783,2.226,2.435,0.002,0.998,0.931,0.879,0.004,-4.983,4.26E-06,0.693,84.95%,1.139,4.91%,0.193,0.659,0.268,0.044,0.047,0.012,0.004,0.074,0.022,0.736,5.135,0.836,0.629,0.996,0.892,0.926,0.974,0.982,0.757,0.97,0.003,0.08,0.98,0.013,3.786,5.099,5.515,0.001,0.002,0.967,0.021,0.149,0.065,0.007,0.746,0.005,0.013,0.601,0.279,283.18,298.788,0.948,5,4,84.21,2,3,13,5,0,17,0.118,0,1,0,3,0,1,0,0,2,0.529,3.62,0.375,20,-0.188,0,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,FALSE,FALSE
nfkb.smi,50049913::NNNLFGJHIHGHAH-UHFFFAOYSA-N,n1(c(cc2c3c(nc(nc3ccc12)N)N)C(C)C)CC,-3.069,1.882,1.715,0.001,0.997,0.885,0.919,0.009,-5.093,3.36E-06,0.818,85.54%,1.146,10.32%,0.46,0.901,0.175,0.038,0.025,0.005,0.006,0.091,0.01,0.305,4.536,0.786,0.468,0.996,0.946,0.96,0.931,0.978,0.174,0.971,0.003,0.073,0.964,-0.001,3.926,4.769,5.623,0.004,0.004,0.978,0.401,0.066,0.06,0.01,0.738,0.027,0.025,0.533,0.799,269.16,281.492,0.956,5,4,84.21,2,3,13,5,0,17,0.118,0,1,0,3,0,0,0,0,2,0.551,3.445,0.333,18,-0.192,0,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,FALSE,FALSE
nfkb.smi,50116547::FUUAKZLCQFQXJB-UHFFFAOYSA-N,C(=O)(CCNCCOc1ccc(Cc2ccccc2)cc1)OC,-3.747,2.998,2.832,0.13,0.151,0.01,0.018,0.824,-4.691,3.46E-05,0.911,85.36%,1.794,9.57%,0.754,0.285,0.665,0.887,0.308,0.487,0.982,0.785,0.9,0.833,12.459,0.74,0.6,0.71,0.552,0.081,0.025,0.275,0.542,0.055,0.003,0.019,0.106,0.649,3.637,3.859,4.71,0.018,0.006,0.107,0.022,0.282,0.008,0.003,0.525,0.082,0.322,0.035,0.012,313.17,338.979,0.924,4,1,47.56,10,2,6,4,0,13,0.769,0,0,0,0,0,0,0,0,0,0.571,1.784,0.316,10,-0.493,1,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,FALSE,FALSE
nfkb.smi,50129870::QGYJFKCZBHQWRR-ZDUSSCGKSA-N,N1(C(=O)CNCCOc2ccccc2)[C@H](C#N)CCC1,-0.948,0.777,1.082,0.001,0.014,0.048,0.042,0.397,-4.925,4.47E-05,0.649,23.09%,1.494,67.37%,0.047,0.155,0.064,0.12,0.028,0.864,0.025,0.208,0.123,0.289,7.989,0.813,0.051,0.961,0.928,0.033,0.631,0.973,0.877,0.164,0.194,0.027,0.979,0.489,2.549,5.331,4.044,0.018,0.015,0.032,0.01,0.209,0.004,0.004,0.548,0.011,0.077,0.065,0.012,273.15,285.635,0.956,5,1,65.36,7,2,6,5,0,13,0.538,1,0,0,0,0,0,1,0,2,0.79,2.584,0.467,33.636,-1.06,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,FALSE,FALSE
nfkb.smi,50129873::VFFZWMWTUSXDCB-CYBMUJFWSA-N,N1(C(=O)CNCCNc2ncc(C#N)cc2)[C@@H](C#N)CCC1,-0.745,-0.382,0.173,0,0.983,0.354,0.189,0.044,-5.832,4.23E-06,0.083,23.97%,0.867,74.44%,0.018,0.435,0.06,0.06,0.036,0.813,0.051,0.181,0.03,0.172,5.024,0.878,0.364,0.986,0.944,0.032,0.961,0.984,0.92,0.03,0.008,0.017,0.967,-0.097,2.255,5.286,4.687,0.055,0.002,0.014,0.017,0.143,0.003,0.008,0.197,0.01,0.007,0.014,0.01,298.15,304.562,0.979,7,2,108.07,6,2,6,7,0,15,0.4,1,0,0,0,0,1,1,0,2,0.739,3.88,0.467,37,-1.001,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,FALSE,FALSE
nfkb.smi,50129921::WSKQLVLFGCDMSH-AWEZNQCLSA-N,N1(C(=O)CNCCNc2ccccc2)[C@H](C#N)CCC1,-0.286,0.818,0.957,0.001,0.968,0.295,0.009,0.032,-5.815,7.13E-06,0.467,25.97%,1.615,68.98%,0.031,0.111,0.036,0.067,0.023,0.797,0.011,0.177,0.092,0.189,7.281,0.847,0.042,0.946,0.898,0.092,0.941,0.973,0.908,0.208,0.219,0.021,0.981,0.406,2.454,5.246,4.405,0.017,0.006,0.028,0.007,0.214,0.005,0.004,0.509,0.012,0.008,0.051,0.01,272.16,287.842,0.946,5,2,68.16,7,2,6,5,0,13,0.538,1,0,0,1,0,0,4,0,3,0.764,2.667,0.467,33.636,-1.169,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,FALSE,FALSE
nfkb.smi,50129937::STWTYQOXUTUWAW-LBPRGKRZSA-N,N1(C(=O)CNCCNc2ncccc2)[C@H](C#N)CCC1,0.388,-0.638,0.106,0,0.99,0.055,0.005,0.013,-5.819,5.06E-06,0.198,23.87%,1.508,81.22%,0.013,0.106,0.032,0.056,0.005,0.776,0.057,0.178,0.023,0.173,5.303,0.846,0.04,0.96,0.912,0.013,0.957,0.986,0.917,0.061,0.13,0.081,0.985,0.034,2.095,5.043,4.347,0.016,0.003,0.011,0.005,0.156,0.004,0.004,0.461,0.011,0.005,0.022,0.007,273.16,281.543,0.97,6,2,84.28,6,2,6,6,0,14,0.429,1,0,0,0,0,1,1,0,2,0.742,3.734,0.5,33.81,-0.913,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,FALSE,FALSE
nfkb.smi,50172797::TXMIOBGEEHTBRF-UHFFFAOYSA-N,c1ccccc1COC(=O)NCC(=O)NCC(=O)OC,-1.809,1.269,0.952,0.009,0.067,0.011,0.003,0.007,-4.937,9.53E-05,0.958,18.60%,0.487,58.39%,0.224,0.09,0.274,0.143,0.042,0.087,0.007,0.238,0.05,0.144,6.965,0.946,0.253,0.05,0.051,0.019,0.005,0.008,0.407,0.021,0.003,0.014,0.029,0.368,2.348,3.814,4.67,0.011,0.014,0.01,0.013,0.362,0.009,0.003,0.04,0.006,0.056,0.006,0.013,280.11,274.974,1.019,7,2,93.73,10,1,6,7,0,9,1.111,0,0,1,1,0,0,1,1,2,0.726,1.789,0.308,7,-0.892,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,FALSE,FALSE
nfkb.smi,50199479::GOHHILRYUWDDDU-UHFFFAOYSA-N,C1(CCCCC1)C(=O)NCCNCCSc1ccccc1,-2.736,3.333,2.581,0.003,0.996,0.016,0.909,0.615,-5.217,5.26E-06,0.98,74.46%,1.611,27.73%,0.386,0.197,0.339,0.779,0.014,0.128,0.964,0.623,0.682,0.362,6.47,0.329,0.161,0.159,0.237,0.239,0.581,0.125,0.837,0.095,0.004,0.024,0.769,0.538,3.647,3.883,4.586,0.009,0.002,0.023,0.022,0.178,0.004,0.004,0.377,0.018,0.693,0.028,0.032,306.18,324.222,0.944,3,2,41.13,9,2,6,4,0,13,0.692,0,0,0,0,0,0,0,0,0,0.573,1.977,0.588,22,-1.36,1,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,FALSE,FALSE
nfkb.smi,50212667::MORMJCOUXHYGCL-UHFFFAOYSA-O,c1(ccc(cc1)Oc1ccccc1)C(=O)NCC[NH3+],-2.199,1.759,1.845,0.01,0.01,0.175,0.009,0.619,-5.51,4.56E-05,0.576,42.50%,2.598,32.38%,0.932,0.08,0.47,0.156,0.376,0.83,0.686,0.826,0.131,0.248,7.525,0.633,0.697,0.3,0.064,0.903,0.372,0.878,0.841,0.158,0.003,0.019,0.889,0.462,3.676,4.466,5.966,0.014,0.008,0.279,0.035,0.187,0.006,0.004,0.084,0.051,0.005,0.044,0.016,256.12,272.002,0.942,4,3,64.35,6,2,6,4,0,13,0.462,0,0,0,0,0,0,1,0,0,0.861,1.549,0.133,10,-0.796,2,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,FALSE,FALSE
nfkb.smi,50213753::HSEBBCWAZOTVEK-UHFFFAOYSA-N,c1(cc(c2c(c1)S(=O)(=O)NC(=N2)Nc1c(cccc1)F)O)Cl,-4.11,2.232,2.411,0.131,0.002,0.01,0.001,0.122,-5.438,1.72E-05,0.006,98.12%,0.26,1.42%,0.516,0.507,0.389,0.708,0.727,0.946,0.316,0.734,0.745,0.168,0.768,0.269,0.015,0.688,0.982,0.057,0.261,0.822,0.103,0.279,0.003,0.033,0.291,0.702,3.322,4.003,4.429,0.002,0.008,0.737,0.019,0.088,0.006,0.087,0.404,0.007,0.004,0.742,0.015,341,288.428,1.182,6,3,90.79,2,3,10,9,0,19,0.105,0,1,0,1,0,1,5,1,2,0.694,2.816,0,38,-1.454,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,FALSE,FALSE
