file name,name,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,QED_PASS,SYNTH_PASS,MCE-18_PASS,PASS
nfkb.smi,67083::PRUGYABZNYFQLC-UHFFFAOYSA-N,s1c(C(=O)CCC(=O)OCC(=O)c2ccccc2)ccc1,-3.848,2.473,2.578,0.152,0,0.573,0.27,0.188,-4.419,7.12E-05,0.149,72.75%,0.305,18.20%,0.988,0.162,0.96,0.061,0.869,0.238,0.777,0.181,0.351,0.208,6.216,0.814,0.171,0.139,0.976,0.441,0.372,0.016,0.326,0.311,0.013,0.684,0.742,0.644,4.085,4.951,3.924,0.156,0.02,0.768,0.037,0.945,0.022,0.656,0.9,0.909,0.563,0.267,0.666,302.06,300.758,1.004,4,0,60.44,8,2,6,5,0,14,0.571,0,0,0,0,0,0,2,0,2,0.582,1.887,0.188,11,-1.244,1,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,FALSE,FALSE
nfkb.smi,71866::AAFUEGLNUSDCRU-UHFFFAOYSA-N,O1CCN(CC1)CC#CC[C@@H](OCCC#N)C,-0.804,1.158,0.789,0.337,0.001,0.003,0.987,0.242,-4.467,5.67E-05,0.978,41.01%,0.593,58.46%,0.047,0.484,0.089,0.203,0.015,0.462,0.009,0.207,0.015,0.453,8.3,0.777,0.014,0.789,0.035,0.389,0.144,0.032,0.924,0.961,0.925,0.982,0.958,0.039,1.727,2.345,3.277,0.004,0.029,0.02,0.021,0.264,0.008,0.005,0.892,0.009,0.205,0.008,0.171,236.15,253.876,0.93,4,0,45.49,5,1,6,4,0,8,0.625,1,0,0,0,0,2,0,0,4,0.528,3.4,0.769,11.739,-1.122,0,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,FALSE,FALSE
nfkb.smi,96588::YYJXDNUKTDWVSD-UHFFFAOYSA-N,O=C(NCCc1ccccc1)CCC(=O)OCC#C,-2.065,1.505,1.365,0.696,0,0.009,0.217,0.136,-4.639,0.000125511,0.975,92.23%,0.669,6.97%,0.935,0.32,0.908,0.183,0.363,0.568,0.666,0.14,0.673,0.531,6.78,0.918,0.042,0.185,0.236,0.839,0.062,0.075,0.475,0.287,0.003,0.042,0.065,0.508,2.399,4.129,4.002,0.027,0.006,0.029,0.012,0.494,0.025,0.006,0.501,0.028,0.01,0.011,0.022,259.12,278.352,0.931,4,1,55.4,9,1,6,4,0,9,1,0,0,0,0,1,0,2,0,0,0.593,1.993,0.333,6,-0.911,0,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,FALSE,FALSE
pr.smi,400173::VOOLGEDNKZKXCN-UHFFFAOYSA-N,[C@]12(CN(C[C@@H]1C2)c1cc(cc(c1)F)F)C#Cc1ncccn1,-3.544,2.986,2.617,0.163,0.001,0.004,0.002,0.013,-4.435,3.53E-05,0.748,96.21%,1.105,2.56%,0.892,0.463,0.895,0.318,0.858,0.234,0.285,0.787,0.847,0.169,4.876,0.122,0.337,0.987,0.947,0.186,0.307,0.918,0.938,0.872,0.5,0.506,0.941,2.304,3.976,4.604,5.853,0.014,0.21,0.874,0.93,0.266,0.007,0.947,0.505,0.011,0.506,0.801,0.914,297.11,292.396,1.016,3,0,29.02,1,4,6,5,0,20,0.05,2,0,0,1,0,1,1,1,4,0.758,3.981,0.294,72.545,-0.673,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
pr.smi,400179::GLQMDADCZCMFFM-UHFFFAOYSA-N,c1nc(ccc1)C#C[C@]12C[C@H]1CN(C2)c1ccc(cn1)F,-3.451,2.885,2.991,0.006,0.001,0.004,0.002,0.027,-4.528,3.36E-05,0.914,91.63%,1.831,5.65%,0.943,0.628,0.888,0.59,0.815,0.403,0.358,0.843,0.811,0.365,6.671,0.067,0.78,0.982,0.932,0.198,0.699,0.862,0.915,0.645,0.038,0.119,0.979,2.276,3.959,5.118,5.707,0.036,0.272,0.87,0.945,0.254,0.014,0.9,0.542,0.478,0.81,0.588,0.917,279.12,286.329,0.975,3,0,29.02,1,4,6,4,0,20,0.05,2,0,0,1,0,2,1,1,3,0.751,3.841,0.294,69.091,-1.201,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
pr.smi,400207::KTSTZYAYOJYVDV-UHFFFAOYSA-N,c1nc(ccc1)C#C[C@]12C[C@H]1CN(C2)C(=O)c1cncc(c1)Cl,-2.795,2.187,1.888,0.009,0.001,0.004,0.003,0.046,-4.594,2.94E-05,0.857,88.49%,1.033,6.15%,0.887,0.712,0.816,0.603,0.773,0.271,0.107,0.696,0.943,0.379,2.311,0.186,0.643,0.923,0.945,0.008,0.575,0.617,0.941,0.33,0.005,0.096,0.97,0.927,3.379,4.588,4.15,0.028,0.027,0.816,0.951,0.194,0.006,0.43,0.616,0.539,0.773,0.413,0.843,323.08,318.922,1.013,4,0,46.09,2,4,6,5,0,21,0.095,2,0,0,0,0,2,1,1,4,0.758,3.834,0.278,72.13,-1.098,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
pr.smi,400217::KNVJEGFZKYDKOG-UHFFFAOYSA-N,[C@]12(CN(C[C@@H]1C2)C(=O)Nc1ccccc1)C#Cc1ccccn1,-3.928,2.72,2.687,0.02,0.019,0.009,0.992,0.747,-4.996,2.15E-05,0.982,94.71%,0.829,3.34%,0.622,0.548,0.794,0.76,0.748,0.677,0.114,0.796,0.843,0.483,4.182,0.203,0.132,0.874,0.954,0.051,0.08,0.544,0.919,0.321,0.004,0.146,0.978,0.845,3.342,5.036,4.539,0.052,0.406,0.93,0.91,0.657,0.008,0.814,0.702,0.783,0.613,0.891,0.906,303.14,321.007,0.944,4,1,45.23,3,4,6,4,0,21,0.143,2,0,0,1,0,1,5,0,4,0.823,3.541,0.263,68.333,-1.038,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
pr.smi,481622::GEKRVCRUZXROSZ-CYBMUJFWSA-N,c1c(cc(cc1)F)Cn1c(cn2c(c1=O)cnc2[C@H]1CC1(F)F)C,-3.17,2.458,2.474,0.895,0.003,0.004,0.002,0.002,-4.68,2.65E-05,0.945,89.68%,1.033,11.54%,0.618,0.899,0.924,0.645,0.916,0.782,0.413,0.731,0.808,0.577,7.304,0.09,0.107,0.83,0.175,0.387,0.061,0.974,0.052,0.729,0.003,0.012,0.435,2.175,4.26,6.287,7.049,0.009,0.002,0.072,0.417,0.1,0.01,0.024,0.188,0.009,0.006,0.043,0.005,333.11,309.89,1.075,4,0,39.3,3,4,9,7,0,20,0.15,1,2,0,0,0,1,1,2,1,0.739,3.362,0.294,78.545,-1.35,0,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
pr.smi,513587::BKEYBHULPGEGOM-OAHLLOKOSA-N,O=S1(=O)[N@@](CCCN1c1cc(n[nH]1)c1ccccc1)[C@H]1CN(CC1)C#N,-4.55,2.26,3.189,0.098,0.003,0.007,0.003,0.265,-5.113,1.61E-05,0.543,72.61%,1.308,30.58%,0.186,0.106,0.74,0.393,0.932,0.927,0.088,0.797,0.883,0.485,5.357,0.435,0.551,0.997,0.996,0.041,0.028,0.922,0.079,0.087,0.003,0.013,0.917,0.712,3.31,3.964,4.809,0.001,0.004,0.28,0.974,0.198,0.004,0.23,0.527,0.002,0.796,0.406,0.257,372.14,351.977,1.057,8,1,96.33,3,4,6,9,0,25,0.12,1,0,0,1,1,0,0,0,0,0.822,3.779,0.412,78.833,-1.199,1,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
pr.smi,513605::AJDNGBAAKMPCJE-KRWDZBQOSA-N,c1(cccc(c1)N1CC[N@@](S1(=O)=O)[C@H]1CCN(C1)C#N)c1ccccn1,-4.184,1.819,2.431,0.291,0.006,0.008,0.093,0.525,-4.882,2.56E-05,0.64,72.00%,1.068,29.52%,0.134,0.093,0.652,0.595,0.877,0.814,0.046,0.601,0.847,0.872,5.641,0.728,0.59,0.999,0.995,0.275,0.074,0.717,0.084,0.478,0.003,0.014,0.942,0.854,3.485,4.214,4.347,0,0.011,0.424,0.986,0.219,0.005,0.484,0.523,0.006,0.898,0.606,0.639,369.13,355.64,1.038,7,0,80.54,3,4,6,8,0,25,0.12,1,0,0,1,1,1,0,0,1,0.769,3.591,0.333,77,-1.243,2,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
pr.smi,513606::AVPKZBLUZIKYAK-SFHVURJKSA-N,c1(cccc(c1)N1CC[N@](S1(=O)=O)[C@H]1CCN(C1)C#N)c1cccnc1,-3.644,1.572,2.408,0.17,0.007,0.008,0.069,0.66,-5.251,2.38E-05,0.868,61.65%,1.325,40.12%,0.44,0.113,0.84,0.578,0.919,0.638,0.429,0.668,0.95,0.901,6.894,0.762,0.676,0.999,0.995,0.238,0.123,0.455,0.131,0.458,0.003,0.012,0.877,0.827,3.394,4.089,4.193,0,0.006,0.555,0.987,0.167,0.006,0.463,0.559,0.006,0.887,0.541,0.519,369.13,355.64,1.038,7,0,80.54,3,4,6,8,0,25,0.12,1,0,0,1,1,1,0,0,1,0.769,3.601,0.333,77,-1.12,2,0,0,0,Accepted,Accepted,Accepted,Accepted,TRUE,TRUE,TRUE,TRUE
pr.smi,104064::FCBGSDAUOVDSHM-UHFFFAOYSA-N,c12c3c([nH]c1[C@](N(CC2)C(=O)CCl)(C(=O)OCC#C)C)cccc3,-3.658,2.908,2.735,0.001,0.002,0.018,0.994,0.975,-4.926,3.58E-05,0.98,94.50%,0.809,2.59%,0.766,0.783,0.932,0.831,0.861,0.946,0.655,0.199,0.954,0.929,6.515,0.729,0.019,0.579,0.965,0.879,0.986,0.545,0.929,0.662,0.172,0.205,0.962,0.584,4.07,4.994,4.852,0.001,0.032,0.908,0.692,0.211,0.657,0.642,0.935,0.355,0.57,0.389,0.922,344.09,336.698,1.022,5,1,62.4,5,3,13,6,0,18,0.278,1,1,0,4,1,0,5,2,3,0.527,3.538,0.333,61.75,-0.107,0,2,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,TRUE,FALSE
pr.smi,50087574::WEKCPOJSNIFBEO-UHFFFAOYSA-N,n1(c2c(nc1Cc1c(cc(cc1)Cl)Cl)c(ncn2)N)CCCC#C,-2.279,3.061,2.762,0.024,0.009,0.006,0.092,0.496,-4.896,1.99E-05,0.625,94.79%,1.048,3.81%,0.899,0.462,0.911,0.067,0.813,0.324,0.969,0.079,0.926,0.844,8.585,0.873,0.57,0.931,0.964,0.128,0.36,0.897,0.676,0.093,0.003,0.014,0.939,1.357,4.132,5.624,4.958,0.002,0.004,0.944,0.963,0.217,0.561,0.916,0.918,0.032,0.901,0.702,0.939,359.07,338.597,1.06,5,2,70.35,5,3,9,7,0,18,0.278,0,0,0,0,1,1,0,1,1,0.54,3.162,0.235,17,-1.296,0,0,0,0,Accepted,Accepted,Accepted,Accepted,FALSE,TRUE,FALSE,FALSE
