7235::ZNWWNXHREBVJRH-UHFFFAOYSA-N,-8.3
13979::WFOPILBHPHNXJW-UHFFFAOYSA-N,-7.3
15253::DEGQJEIORYDUEY-UHFFFAOYSA-N,-8.4
15261::VSKUURKJFLMGRG-UHFFFAOYSA-N,-8.7
15269::ZMMPNYFGBHEUOV-UHFFFAOYSA-N,-8.4
15270::IXJVGFGPNKHQNK-UHFFFAOYSA-N,-8.5
15281::DPZQTHVXZPQOQI-UHFFFAOYSA-N,-8.8
24464::GZMFYPWWSXGVTC-UHFFFAOYSA-N,-9.0
26808::KRGIXMSVPSMLII-JTHBVZDNSA-N,-10.2
64254::PJPYAWUPLWQGJX-UHFFFAOYSA-N,-9.7
73797::OAAFPYLKYQKPBW-AATRIKPKSA-N,-9.2
85848::WDTAYDBPNYFWDR-UHFFFAOYSA-N,-10.3
87938::MFAFOSJZKZAZSS-UHFFFAOYSA-N,-10.4
91623::OQOJTNWJUISUFK-JOZNFPNDSA-O,-9.8
103178::MFIITRQUHPBFOR-UHFFFAOYSA-N,-10.5
103179::APJRQHYPFKVIGN-UHFFFAOYSA-N,-11.1
104984::NKGXWOQLVXJNHR-UHFFFAOYSA-N,-11.7
111950::LRJJVOVQGDOHAX-UHFFFAOYSA-N,-10.2
112617::QOEZRZBVPCWVFJ-HOTGVXAUSA-N,-8.8
113127::JGCGMHHSWAIIID-IYARVYRRSA-N,-8.1
116662::COANUJWURZDRKT-UHFFFAOYSA-N,-9.3
119349::SOASSXVYYDHJEE-UHFFFAOYSA-N,-8.9
119355::QUGOGKYQIGBDNP-UHFFFAOYSA-N,-8.1
120804::XRZGPMNELCSYNM-DMRSJCKZSA-N,-8.2
122614::PZIUNIWFXVXPTE-UHFFFAOYSA-N,-10.1
122619::XKEOWGKPMORJIB-UHFFFAOYSA-N,-9.4
122642::ZTIPBSQJJXHPJD-UHFFFAOYSA-N,-9.8
122686::JPULRMNUPRFQST-UHFFFAOYSA-N,-9.7
122687::VAIAUKCZKJPKFB-UHFFFAOYSA-N,-9.6
122868::LQZSJSXTLJDLEA-UHFFFAOYSA-N,-9.6
122869::WDTKVBXUZANKRN-UHFFFAOYSA-N,-9.7
122872::SKJDTEQRQLIMED-UHFFFAOYSA-N,-10.0
