7235::ZNWWNXHREBVJRH-UHFFFAOYSA-N,-10.1
13979::WFOPILBHPHNXJW-UHFFFAOYSA-N,-9.3
15253::DEGQJEIORYDUEY-UHFFFAOYSA-N,-9.4
15261::VSKUURKJFLMGRG-UHFFFAOYSA-N,-9.7
15269::ZMMPNYFGBHEUOV-UHFFFAOYSA-N,-8.3
15270::IXJVGFGPNKHQNK-UHFFFAOYSA-N,-8.9
15281::DPZQTHVXZPQOQI-UHFFFAOYSA-N,-8.4
24464::GZMFYPWWSXGVTC-UHFFFAOYSA-N,-9.8
26808::KRGIXMSVPSMLII-JTHBVZDNSA-N,-9.4
64254::PJPYAWUPLWQGJX-UHFFFAOYSA-N,-8.8
73797::OAAFPYLKYQKPBW-AATRIKPKSA-N,-9.6
85848::WDTAYDBPNYFWDR-UHFFFAOYSA-N,-10.6
87938::MFAFOSJZKZAZSS-UHFFFAOYSA-N,-10.3
91623::OQOJTNWJUISUFK-JOZNFPNDSA-O,-7.3
103178::MFIITRQUHPBFOR-UHFFFAOYSA-N,-11.8
103179::APJRQHYPFKVIGN-UHFFFAOYSA-N,-11.9
104984::NKGXWOQLVXJNHR-UHFFFAOYSA-N,-10.0
111950::LRJJVOVQGDOHAX-UHFFFAOYSA-N,-10.6
112617::QOEZRZBVPCWVFJ-HOTGVXAUSA-N,-7.8
113127::JGCGMHHSWAIIID-IYARVYRRSA-N,-10.5
116662::COANUJWURZDRKT-UHFFFAOYSA-N,-10.8
119349::SOASSXVYYDHJEE-UHFFFAOYSA-N,-10.1
119355::QUGOGKYQIGBDNP-UHFFFAOYSA-N,-8.3
120804::XRZGPMNELCSYNM-DMRSJCKZSA-N,-8.1
122614::PZIUNIWFXVXPTE-UHFFFAOYSA-N,-6.5
122619::XKEOWGKPMORJIB-UHFFFAOYSA-N,-8.0
122642::ZTIPBSQJJXHPJD-UHFFFAOYSA-N,-9.2
122686::JPULRMNUPRFQST-UHFFFAOYSA-N,-9.8
122687::VAIAUKCZKJPKFB-UHFFFAOYSA-N,-8.9
