file name,name,smiles,EGFR.csv,ER-beta.csv,HER2.csv,NFKB.csv,PR.csv,molecular weight
egfr+her2.smi,112503::YMQSEEOAYCTNQU-NSCUHMNNSA-N,O(c1c(NC(=O)/C=C/CN2CC[C@H](CC2)F)cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)C,-9.36,,-10.93,,,487.93800000000005
egfr+her2.smi,112504::HNVQCOJZTIBBPB-VOTSOKGWSA-N,O(c1c(NC(=O)/C=C/CN2CCCCCC2)cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)C,-9.576,,-12.01,,,483.9750000000001
egfr+her2.smi,130909::HKSZLNNOFSGOKW-UHFFFAOYSA-N,c12c3c4c(c5c1n(c1c5cccc1)[C@@]1([C@@H]([C@H](C[C@H](n2c2c3cccc2)O1)NC)OC)C)CNC4=O,,,-7.613,,,466.5410000000002
egfr+her2.smi,133685::UIKREWNIYFBAFO-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(cc(cc1)Br)F)OCC1CCN(CC1)C(=O)C,-9.81,,,,,542.4090000000002
egfr+her2.smi,133686::UIMWWLHPSZWOBD-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(cc(cc1)Br)F)OCC1CCN(CC1)C(=O)C(F)(F)F,-9.975,,,,,596.3790000000004
egfr+her2.smi,133687::QOLLSSWROWSEGI-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(cc(cc1)Br)F)OCC1CCN(CC1)C(=O)CS(=O)(=O)C,-8.384,,,,,620.5010000000002
egfr+her2.smi,133688::JRVWLHJZBRHYIL-UHFFFAOYSA-N,C1(CCN(CC1)C(=O)N)COc1c(cc2c(c1)ncnc2Nc1c(cc(cc1)Br)F)NC(=O)C=C,-9.121,,,,,543.397
egfr+her2.smi,133689::VZMZAYAKDHWCNK-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(cc(cc1)Br)F)OCC1CCN(CC1)C(=O)C=C,-9.197,,,,,554.4200000000002
egfr+her2.smi,133690::SNBZJZUPCUEFMH-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(cc(cc1)Br)F)OCc1ccncc1,-8.647,,,,,494.3240000000001
egfr+her2.smi,133691::CANUXFBJESAWLP-UHFFFAOYSA-N,C=CC(=O)Nc1c(cc2ncnc(c2c1)Nc1c(c(c(cc1)F)F)F)OCC1CCN(CC1)C(=O)C,-9.723,,,,,499.4930000000003
