file name,name,smiles,EGFR.csv,ER-beta.csv,HER2.csv,NFKB.csv,PR.csv,molecular weight
EGFR+HER2.smi,50530663::HEMUWJWCGDQEFM-UHFFFAOYSA-N,O=S(=O)(Nc1nc(c(c2nc(ncc2)Nc2ccc(cc2)N2CCNCC2)s1)c1ccc(cc1)F)C1CCNCC1,,,,,,594.742
EGFR+HER2.smi,50525933::AXUOMYZODFGYOS-INIZCTEOSA-N,[nH]1c(=O)c(c(c2c1cn(n2)C)N[C@H](c1ncccn1)CC)c1[nH]c2c(n1)cc(c(c2)N1CCOCC1)C,-9.2,,-10.1,,,499.579
EGFR+HER2.smi,50524229::UAXWIFQBTHHWAT-UHFFFAOYSA-N,O=S(=O)(NCCNCc1cc(C(=O)Nc2cccc(c3cc4c(cc3)OCCO4)c2C#N)c2n(c1)cnn2)C,,,-9,,,547.597
EGFR+HER2.smi,50524224::CQRMUXGSOPHIPV-UHFFFAOYSA-N,c1c(ccc2c1OCCO2)c1cccc(c1C#N)NC(=O)c1cc(cn2c1nnc2)CNCCNC(=O)C,-9.8,,-9.2,,,511.542
EGFR+HER2.smi,50521253::BTSLADGESTVJLG-KRWDZBQOSA-N,n1c(nc2c3c1cc(c(c3OC[C@H]1N2CCN(C1)C(=O)C=C)Cl)c1c(ccc2c1cn[nH]2)C)NCCN(C)C,-10.6,,-7.1,,,547.063
EGFR+HER2.smi,50521251::FKHASWQIAUADON-SFHVURJKSA-N,n1c(nc2c3c1cc(c(c3OC[C@H]1N2CCN(C1)C(=O)C=C)Cl)c1c(ccc2c1cn[nH]2)C)N1C[C@@H](C1)N(C)C,-11.4,,-10.3,,,559.074
EGFR+HER2.smi,50519426::WZJWUFBHESGOMB-UHFFFAOYSA-N,c1c(nccc1Oc1ccc(cc1F)Nc1c2c(=O)c(c[nH]c2ccn1)c1ccc(cc1)F)NC(=O)CCC,-10.9,,-12.6,,,527.531
EGFR+HER2.smi,50519137::WZXDCJUDEWVJAA-UHFFFAOYSA-N,O=S(=O)(N1CC[C@H](NC(=O)c2n(c3ccc(c(c3c2)Cl)Cl)C)[C@@H](C1)CC(=O)O)NC(=O)C,-7.8,,-8,,,505.38
EGFR+HER2.smi,50518346::LBSHASCUXNQZGS-DPTHPHEISA-N,n1cnc2c(c1N)c(nn2[C@@H]1CCCN(C1)C(=O)/C=C/CBr)C#CCOc1ccccc1,-8.9,,-10,,,495.381
EGFR+HER2.smi,50514942::LVDMRCKBQDTUEU-UHFFFAOYSA-N,c1c(c(cc2c1nc(n2C)N1CCOCC1)NC(=O)c1cnn2c1nccc2)N1CCC(CC1)CO,-9.4,,-9.2,,,490.568
EGFR+HER2.smi,50514927::ITGGDAFWYPNQHZ-UHFFFAOYSA-N,c1c(c(cc2c1nc([nH]2)N1CCOCC1)NC(=O)c1cnn2c1nccc2)N1CCC(CC1)CO,-8.9,,-10.5,,,476.541
EGFR+HER2.smi,50509968::XBYHUYXRZWZBOJ-UHFFFAOYSA-N,c1(c(cc2c(n1)N(CCC2)C(=O)Nc1cc(c(cn1)C#N)Nc1c(ccnc1)OC)CN1C(=O)COCC1)C=O,-8.7,,-9.7,,,542.556
EGFR+HER2.smi,50508558::CBNLPDNEBAAKJY-UHFFFAOYSA-N,c1nc2c(nc1)cc(cc2c1cc2c(cc1)sc(n2)N)Nc1cnccc1C(=O)N[C@H]1CCN(C1)C,-10.2,,-10.8,,,496.6
